# Matter power spectrum P(k) at redshift z=2
# for k=1.045e-05 to 10.6861 h/Mpc,
# number of wavenumbers equal to 613
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.349808795276e-02       4.535220019235e+03 
       1.362707802683e-02       4.543266620577e+03 
       1.375610441532e-02       4.550911589730e+03 
       1.388516723129e-02       4.558170542750e+03 
       1.401426661081e-02       4.565045638692e+03 
       1.414340271265e-02       4.571539391400e+03 
       1.427257571792e-02       4.577653319057e+03 
       1.440178582977e-02       4.583395802262e+03 
       1.453103327311e-02       4.588769894883e+03 
       1.466031829438e-02       4.593778443050e+03 
       1.478964116137e-02       4.598432615610e+03 
       1.491900216301e-02       4.602735224261e+03 
       1.504840160920e-02       4.606679586545e+03 
       1.517783983073e-02       4.610296946773e+03 
       1.530731717916e-02       4.613560695636e+03 
       1.543683402673e-02       4.616492920108e+03 
       1.556639076630e-02       4.619091868454e+03 
       1.569598781137e-02       4.621368452727e+03 
       1.582562559600e-02       4.623325628375e+03 
       1.595530457486e-02       4.624962760523e+03 
       1.608502522327e-02       4.626282217486e+03 
       1.621478803722e-02       4.627292033341e+03 
       1.634459353345e-02       4.627993468779e+03 
       1.647444224958e-02       4.628402987883e+03 
       1.660433474414e-02       4.628509628113e+03 
       1.673427159678e-02       4.628316257905e+03 
       1.686425340835e-02       4.627841647589e+03 
       1.699428080111e-02       4.627085821558e+03 
       1.712435441886e-02       4.626040374857e+03 
       1.725447492718e-02       4.624719371585e+03 
       1.738464301363e-02       4.623129150530e+03 
       1.751485938798e-02       4.621268361103e+03 
       1.764512478243e-02       4.619136338812e+03 
       1.777543995193e-02       4.616722986875e+03 
       1.790580567440e-02       4.614061219438e+03 
       1.803622275109e-02       4.611168220818e+03 
       1.816669200684e-02       4.608009482792e+03 
       1.829721429042e-02       4.604649246296e+03 
       1.842779047491e-02       4.600975451687e+03 
       1.855842145803e-02       4.597132039741e+03 
       1.868910816253e-02       4.593021442112e+03 
       1.881985153660e-02       4.588674797439e+03 
       1.895065255427e-02       4.584048918066e+03 
       1.908151221584e-02       4.579288274814e+03 
       1.921243154835e-02       4.574275982323e+03 
       1.934341160602e-02       4.569030659615e+03 
       1.947445347077e-02       4.563574724009e+03 
       1.960555825268e-02       4.557923427544e+03 
       1.973672709056e-02       4.552020911117e+03 
       1.986796115246e-02       4.545975735967e+03 
       1.999926163623e-02       4.539700822723e+03 
       2.013062977012e-02       4.533228731655e+03 
       2.026206681336e-02       4.526555757941e+03 
       2.039357405681e-02       4.519698721401e+03 
       2.052515282356e-02       4.512642800802e+03 
       2.065680446963e-02       4.505418376479e+03 
       2.078853038464e-02       4.498023692753e+03 
       2.092033199250e-02       4.490416016293e+03 
       2.105221075219e-02       4.482667641121e+03 
       2.118416815845e-02       4.474739368157e+03 
       2.131620574262e-02       4.466632576997e+03 
       2.144832507339e-02       4.458363435277e+03 
       2.158052775766e-02       4.449933436843e+03 
       2.171281544138e-02       4.441348332232e+03 
       2.184518981047e-02       4.432607901722e+03 
       2.197765259164e-02       4.423703522350e+03 
       2.211020555343e-02       4.414659963540e+03 
       2.224285050711e-02       4.405459942038e+03 
       2.237558930770e-02       4.396127303752e+03 
       2.250842385501e-02       4.386645822706e+03 
       2.264135609466e-02       4.377015554709e+03 
       2.277438801924e-02       4.367268359603e+03 
       2.290752166936e-02       4.357379332774e+03 
       2.304075913486e-02       4.347360677006e+03 
       2.317410255604e-02       4.337209894644e+03 
       2.330755412480e-02       4.326940921769e+03 
       2.344111608601e-02       4.316539451489e+03 
       2.357479073879e-02       4.306032672667e+03 
       2.370858043787e-02       4.295390685371e+03 
       2.384248759499e-02       4.284647924116e+03 
       2.397651468034e-02       4.273794429983e+03 
       2.411066422407e-02       4.262825498252e+03 
       2.424493881783e-02       4.251747389067e+03 
       2.437934111633e-02       4.240573091742e+03 
       2.451387383901e-02       4.229284483494e+03 
       2.464853977174e-02       4.217896172214e+03 
       2.478334176854e-02       4.206423330527e+03 
       2.491828275342e-02       4.194860952393e+03 
       2.505336572221e-02       4.183189918034e+03 
       2.518859374453e-02       4.171450233505e+03 
       2.532396996575e-02       4.159610713522e+03 
       2.545949760907e-02       4.147677400176e+03 
       2.559517997761e-02       4.135667902689e+03 
       2.573102045669e-02       4.123582517681e+03 
       2.586702251600e-02       4.111410728956e+03 
       2.600318971206e-02       4.099167151836e+03 
       2.613952569055e-02       4.086844184358e+03 
       2.627603418892e-02       4.074454229931e+03 
       2.641271903892e-02       4.061989159816e+03 
       2.654958416936e-02       4.049474238846e+03 
       2.668663360886e-02       4.036864014312e+03 
       2.682387148875e-02       4.024202818154e+03 
       2.696130204606e-02       4.011491046958e+03 
       2.709892962664e-02       3.998698905990e+03 
       2.723675868836e-02       3.985844092109e+03 
       2.737479380444e-02       3.972961577262e+03 
       2.751303966691e-02       3.960016486780e+03 
       2.765150109016e-02       3.947003513390e+03 
       2.779018301472e-02       3.933959881798e+03 
       2.792909051104e-02       3.920851279527e+03 
       2.806822878351e-02       3.907699333679e+03 
       2.820760317466e-02       3.894497964840e+03 
       2.834721916939e-02       3.881262871010e+03 
       2.848708239949e-02       3.867978785696e+03 
       2.862719864828e-02       3.854637942042e+03 
       2.876757385545e-02       3.841298729151e+03 
       2.890821412206e-02       3.827886849711e+03 
       2.904912571580e-02       3.814449236110e+03 
       2.919031507636e-02       3.800986993583e+03 
       2.933178882113e-02       3.787490361584e+03 
       2.947355375108e-02       3.773947393217e+03 
       2.961561685685e-02       3.760397260038e+03 
       2.975798532515e-02       3.746791667140e+03 
       2.990066654540e-02       3.733185640341e+03 
       3.004366811665e-02       3.719538026487e+03 
       3.018699785478e-02       3.705871933192e+03 
       3.033066380005e-02       3.692192937138e+03 
       3.047467422493e-02       3.678468566006e+03 
       3.061903764232e-02       3.664750337013e+03 
       3.076376281406e-02       3.650995095528e+03 
       3.090885875989e-02       3.637224589544e+03 
       3.105433476679e-02       3.623442311292e+03 
       3.120020039870e-02       3.609644727694e+03 
       3.134646550675e-02       3.595840432195e+03 
       3.149314023990e-02       3.582018802977e+03 
       3.164023505612e-02       3.568175383368e+03 
       3.178776073406e-02       3.554320361650e+03 
       3.193572838529e-02       3.540463763566e+03 
       3.208414946714e-02       3.526593928465e+03 
       3.223303579609e-02       3.512714591705e+03 
       3.238239956191e-02       3.498835363528e+03 
       3.253225334243e-02       3.484946204071e+03 
       3.268261011904e-02       3.471043001977e+03 
       3.283348329301e-02       3.457155893441e+03 
       3.298488670259e-02       3.443244186580e+03 
       3.313683464103e-02       3.429334279378e+03 
       3.328934187547e-02       3.415422012944e+03 
       3.344242366689e-02       3.401521604782e+03 
       3.359609579103e-02       3.387600459479e+03 
       3.375037456053e-02       3.373686622024e+03 
       3.390527684814e-02       3.359787204274e+03 
       3.406082011128e-02       3.345862303749e+03 
